Churn,MonthlyRevenue,MonthlyMinutes,TotalRecurringCharge,DirectorAssistedCalls,OverageMinutes,RoamingCalls,PercChangeMinutes,PercChangeRevenues,DroppedCalls,BlockedCalls,UnansweredCalls,CustomerCareCalls,ReceivedCalls,OutboundCalls,InboundCalls,PeakCallsInOut,OffPeakCallsInOut,DroppedBlockedCalls,CallWaitingCalls,MonthsInService,UniqueSubs,CurrentEquipmentDays,AgeHH1,AgeHH2,IncomeGroup,ServiceArea,CreditRating
1,24.0,219.0,22.0,0.25,0.0,0.0,-157.0,-12.899999999999999,0.7,0.7,6.3,0.0,97.2,0.0,0.0,58.0,24.0,1.3,0.3,46.0,2.0,361.0,62.0,0.0,4.0,0.39416058394160586,0.31253383865728207
1,16.99,10.0,17.0,0.0,0.0,0.0,-4.0,0.0,0.3,0.0,2.7,0.0,0.0,0.0,0.0,5.0,1.0,0.3,0.0,46.0,1.0,1053.0,40.0,42.0,5.0,0.30714285714285716,0.26913199794555726
1,17.14,0.0,17.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,2.0,852.0,46.0,54.0,9.0,0.26666666666666666,0.31253383865728207
1,24.49,42.0,17.0,0.0,10.0,0.0,81.0,9.499999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.7,0.0,0.0,46.0,2.0,776.0,36.0,0.0,9.0,0.256140350877193,0.31253383865728207
1,33.48,196.0,30.0,0.0,0.0,0.5,54.0,8.6,6.7,0.3,6.3,0.0,74.1,9.7,5.7,38.0,19.3,7.0,0.0,46.0,2.0,179.0,50.0,48.0,9.0,0.36538461538461536,0.31253383865728207
1,16.14,4.0,17.0,0.0,0.0,0.0,-4.0,0.0,0.0,1.0,1.7,0.0,0.2,0.0,0.0,3.0,0.7,1.0,0.0,46.0,1.0,1053.0,64.0,64.0,6.0,0.22602739726027396,0.31253383865728207
1,57.98,684.0,55.0,0.0,3.0,0.0,-2.0,0.6,11.45,1.3,23.7,1.7499999999999998,203.7,19.3,0.3,131.3,54.3,17.0,0.7,46.0,2.0,864.0,50.0,0.0,9.0,0.5277777777777777,0.3141497851442603
1,96.9725,782.0,25.0,0.0,55.0,0.0,-243.5,-12.899999999999999,1.0,0.7,3.0,0.3,221.45,1.3,0.0,64.3,119.3,1.7,1.7499999999999998,46.0,1.0,162.0,36.0,38.0,7.0,0.36538461538461536,0.3141497851442603
1,30.26,24.0,30.0,0.0,0.0,0.0,25.0,-0.3,0.0,0.0,2.0,0.7,0.1,3.7,0.0,4.0,5.3,0.0,0.0,46.0,1.0,985.0,72.0,68.0,3.0,0.391304347826087,0.31253383865728207
1,50.56,100.0,50.0,0.0,0.0,0.0,6.0,0.0,0.3,6.750000000000001,18.7,0.0,7.8,1.0,0.0,19.3,10.0,18.800000000000004,0.0,46.0,1.0,977.0,0.0,0.0,0.0,0.25625,0.3141497851442603
1,51.24,404.0,50.0,0.0,0.0,0.0,50.0,-1.2,5.3,2.3,12.3,1.7499999999999998,73.8,19.7,0.0,130.3,8.3,7.7,1.0,46.0,1.0,528.0,44.0,0.0,6.0,0.32558139534883723,0.31253383865728207
1,36.84,36.0,45.0,0.0,0.0,0.5,0.0,0.5,0.3,0.0,2.0,0.0,1.2,1.7,0.3,5.0,2.3,0.3,0.0,46.0,3.0,1023.0,40.0,34.0,7.0,0.3793103448275262,0.31253383865728207
1,90.61,1056.0,80.0,0.25,22.0,0.0,225.0,-5.6,3.0,0.3,20.7,1.3,221.45,19.3,13.25,70.0,52.3,3.3,1.7,46.0,3.5,1053.0,0.0,0.0,0.0,0.3384615384615385,0.31253383865728207
1,51.46,368.0,45.0,1.25,39.0,0.5,-174.0,-12.899999999999999,4.3,1.3,26.7,0.0,81.9,26.3,1.7,69.0,26.3,5.7,1.7499999999999998,46.0,1.0,701.0,48.0,0.0,6.0,0.2784615384615385,0.31253383865728207
1,30.86,181.0,30.0,0.5,0.0,0.1,-146.0,-0.9,2.3,3.7,19.3,1.7499999999999998,22.6,41.3,7.3,84.0,37.3,6.0,0.7,46.0,1.0,574.0,32.0,28.0,4.0,0.28314238952536824,0.27689873417721517
1,36.39,66.0,30.0,0.0,0.0,0.0,-66.0,-6.4,0.0,0.0,0.0,0.7,0.0,0.7,0.0,1.7,0.0,0.0,0.0,46.0,1.0,754.0,54.0,0.0,7.0,0.2871287128712871,0.31253383865728207
1,27.25,0.0,27.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,383.0,40.0,38.0,8.0,0.2326283987915408,0.31253383865728207
1,30.0,18.0,30.0,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,5.7,0.0,3.8,0.0,0.0,17.3,3.3,0.0,0.0,46.0,1.0,1053.0,72.0,76.0,7.0,0.34146341463414637,0.3141497851442603
1,96.9725,490.0,70.0,0.0,55.0,0.0,232.5,9.499999999999998,11.3,4.0,46.7,1.0,103.5,26.7,13.25,142.3,31.3,15.3,1.7499999999999998,46.0,3.5,279.0,30.0,0.0,2.0,0.3793103448275262,0.27689873417721517
1,8.07,34.0,5.0,0.0,32.0,0.5,5.0,-2.3,1.0,0.0,2.0,0.0,7.4,0.0,0.0,17.7,7.3,1.0,0.0,46.0,1.0,411.0,40.0,0.0,5.0,0.3384615384615385,0.31253383865728207
1,41.09,340.0,35.0,1.25,6.0,0.0,-154.0,-4.1,2.7,1.0,19.7,1.3,80.8,11.0,0.0,78.0,33.7,3.7,0.0,46.0,1.0,1053.0,42.0,0.0,4.0,0.4594594594594595,0.3141497851442603
1,13.25,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,2.0,1053.0,38.0,0.0,7.0,0.33062330623306235,0.31253383865728207
1,28.73,50.0,30.0,0.0,0.0,0.2,-12.0,-0.2,0.0,0.0,1.7,0.0,8.8,3.0,0.3,14.7,6.3,0.0,0.0,46.0,1.0,503.0,44.0,42.0,8.0,0.28314238952536824,0.31253383865728207
1,23.5,18.0,5.0,0.0,18.0,0.0,-18.0,-12.899999999999999,0.3,0.0,1.7,0.0,0.0,0.0,0.0,7.3,1.7,0.3,0.0,46.0,1.0,1053.0,38.0,36.0,5.0,0.30303030303030304,0.31253383865728207
1,77.04,501.0,45.0,0.0,55.0,0.0,-113.0,6.0,11.3,1.3,50.3,1.7,77.9,12.3,0.0,55.3,50.7,12.7,0.7,46.0,1.0,672.0,54.0,0.0,7.0,0.23893805309734514,0.26913199794555726
1,96.9725,143.0,80.0,1.25,0.0,0.0,-36.0,-3.2,5.0,1.3,12.3,0.0,8.3,52.0,4.7,82.0,3.3,6.3,0.3,46.0,2.0,1053.0,0.0,0.0,0.0,0.25625,0.29668746999519924
1,51.14,438.0,50.0,0.0,3.0,0.0,73.0,2.1,0.0,4.3,24.0,0.3,39.3,7.3,1.3,55.7,53.7,4.3,1.7499999999999998,46.0,1.0,1053.0,54.0,0.0,7.0,0.2426470588235294,0.29668746999519924
1,56.48,355.0,55.0,0.99,0.0,0.0,-171.0,-1.5,8.3,1.0,19.3,0.0,205.8,2.0,1.7,125.3,41.0,9.3,0.0,46.0,1.0,669.0,60.0,44.0,6.0,0.23880597014925373,0.3141497851442603
1,96.9725,594.0,80.0,0.0,0.0,0.0,134.0,-12.899999999999999,2.3,4.7,15.7,1.7499999999999998,91.2,10.7,1.0,80.0,34.3,8.0,1.3,46.0,1.0,61.0,52.0,64.0,6.0,0.2937853107344633,0.2291028961619967
1,63.3,415.0,45.0,1.24,55.0,0.5,156.0,9.499999999999998,4.7,2.0,25.7,0.0,105.9,10.0,0.0,120.3,26.7,6.7,0.7,46.0,3.0,293.0,56.0,50.0,7.0,0.30303030303030304,0.3141497851442603
1,96.9725,1056.0,60.0,0.25,55.0,0.2,-243.5,-12.899999999999999,2.0,0.7,56.95,1.7499999999999998,221.45,28.3,10.0,143.7,40.7,2.7,1.7499999999999998,46.0,1.0,348.0,36.0,0.0,2.0,0.2937853107344633,0.31253383865728207
1,29.99,46.0,30.0,0.0,0.0,0.0,20.0,0.0,0.0,0.3,7.7,1.7499999999999998,1.4,0.0,0.0,7.7,4.7,0.3,0.0,46.0,1.0,1053.0,50.0,24.0,6.0,0.30303030303030304,0.31253383865728207
1,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,1053.0,56.0,54.0,3.0,0.4594594594594595,0.31253383865728207
1,47.5,430.0,50.0,0.0,0.0,0.0,-30.0,-7.5,0.0,2.0,17.0,0.0,130.5,13.7,0.0,150.7,23.0,2.0,1.0,46.0,1.0,6.0,60.0,58.0,7.0,0.28884826325411334,0.31253383865728207
1,35.34,78.0,20.0,0.0,38.0,0.0,35.0,9.0,0.0,0.0,4.3,0.0,17.5,0.0,2.0,9.0,5.7,0.0,0.0,46.0,1.0,1053.0,42.0,42.0,9.0,0.2937853107344633,0.31253383865728207
1,23.24,5.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.3,1.7499999999999998,0.0,2.0,0.0,4.7,0.0,1.0,0.0,46.0,1.0,325.0,32.0,0.0,2.0,0.2426470588235294,0.31253383865728207
1,63.48,439.0,30.0,1.25,55.0,0.0,-17.0,9.499999999999998,5.0,0.7,56.95,1.3,115.6,11.0,0.7,93.0,52.3,5.7,0.0,46.0,1.0,257.0,38.0,30.0,6.0,0.30303030303030304,0.27689873417721517
1,38.17,214.0,30.0,0.0,0.0,0.0,202.0,9.499999999999998,1.3,0.3,18.3,0.0,6.0,4.7,0.0,64.0,8.3,1.7,0.0,46.0,1.0,922.0,52.0,26.0,1.0,0.22666666666666666,0.3141497851442603
1,64.98,311.0,70.0,1.25,0.0,0.0,-66.0,-1.0,6.7,0.3,10.3,0.7,93.5,34.3,6.3,70.3,37.3,7.0,0.0,46.0,3.0,238.0,52.0,0.0,7.0,0.30303030303030304,0.31253383865728207
1,10.0,6.0,10.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,431.0,40.0,44.0,6.0,0.25625,0.31253383865728207
1,86.3,414.0,75.0,1.25,0.0,0.0,188.0,9.499999999999998,7.3,0.0,26.0,0.0,118.9,24.7,0.7,136.3,45.7,7.3,1.7,46.0,1.0,456.0,40.0,0.0,5.0,0.34146341463414637,0.2291028961619967
1,38.53,162.0,38.0,0.0,0.0,0.2,-58.0,1.0,0.0,1.7,11.3,0.0,27.8,14.3,2.7,40.7,11.7,1.7,0.3,46.0,1.0,841.0,48.0,46.0,8.0,0.28884826325411334,0.31253383865728207
1,50.98,256.0,50.0,0.99,0.0,0.0,100.0,0.0,6.7,6.750000000000001,14.3,0.0,38.8,15.0,0.3,66.0,14.3,15.0,1.7499999999999998,46.0,1.0,228.0,44.0,0.0,9.0,0.3651685393258427,0.31253383865728207
1,74.21,651.0,75.0,1.25,0.0,0.0,-5.0,0.2,7.7,0.0,32.0,0.0,103.9,52.0,13.25,188.75,21.7,7.7,0.0,46.0,2.0,686.0,0.0,0.0,0.0,0.32950191570881227,0.31253383865728207
1,28.68,73.0,20.0,0.0,22.0,0.0,5.0,1.9,0.7,0.0,4.0,0.0,1.4,4.0,0.0,6.3,14.7,0.7,0.0,46.0,1.0,998.0,62.0,60.0,5.0,0.21818181818181817,0.31253383865728207
1,96.9725,411.0,75.0,1.25,0.0,0.5,-79.0,-12.899999999999999,1.0,2.0,12.3,1.0,86.8,24.0,6.3,110.3,14.7,3.0,1.0,46.0,3.5,320.0,0.0,0.0,0.0,0.2871287128712871,0.31253383865728207
1,48.89,45.0,47.0,0.0,0.0,0.0,-45.0,-12.899999999999999,0.3,0.3,1.0,0.0,0.2,0.3,0.0,6.3,0.0,0.7,0.0,46.0,1.0,575.0,50.0,48.0,7.0,0.3651685393258427,0.31253383865728207
1,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,511.0,56.0,32.0,1.0,0.30303030303030304,0.31253383865728207
1,25.21,0.0,25.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,1053.0,60.0,52.0,9.0,0.26666666666666666,0.31253383865728207
1,74.22,750.0,22.0,0.25,55.0,0.0,50.0,9.499999999999998,2.7,3.0,12.7,0.7,128.4,24.3,13.25,82.0,44.7,5.7,0.7,46.0,1.0,313.0,36.0,0.0,4.0,0.22666666666666666,0.26913199794555726
1,25.04,44.0,20.0,0.0,12.0,0.0,-16.0,-5.0,2.7,0.0,4.7,0.0,3.4,3.3,0.0,19.7,3.7,2.7,0.0,46.0,1.0,1053.0,42.0,0.0,6.0,0.32950191570881227,0.31253383865728207
1,55.98,403.0,50.0,0.0,0.0,0.5,-56.0,3.0,11.45,0.0,16.7,0.0,221.45,21.0,1.0,152.7,29.0,15.7,1.7,46.0,2.0,1053.0,52.0,50.0,9.0,0.4189189189189189,0.31253383865728207
1,7.5,3.0,10.0,0.0,0.0,0.0,-3.0,2.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,46.0,1.0,588.0,38.0,34.0,6.0,0.2926829268292683,0.31253383865728207
1,64.8,479.0,50.0,0.0,55.0,0.0,-243.5,-12.899999999999999,0.7,2.3,23.7,1.0,107.3,14.7,4.0,81.0,29.3,3.0,1.0,46.0,1.0,172.0,58.0,58.0,3.0,0.2937853107344633,0.31253383865728207
1,17.14,3.0,17.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,46.0,1.0,1053.0,56.0,54.0,9.0,0.2562814070351759,0.31253383865728207
1,70.71,369.0,50.0,1.25,0.0,0.5,-7.0,-5.3,4.0,0.7,14.3,0.3,56.8,21.3,10.0,101.3,42.7,4.7,1.7499999999999998,46.0,2.0,416.0,0.0,0.0,0.0,0.37362637362637363,0.31253383865728207
1,43.83,409.0,42.0,0.5,16.0,0.0,-243.5,-1.3,6.7,0.7,15.3,0.0,95.9,40.0,13.25,117.0,45.7,7.3,1.7499999999999998,46.0,2.0,1053.0,48.0,54.0,7.0,0.2676056338028169,0.31253383865728207
1,45.43,542.0,35.0,0.0,32.0,0.0,-242.0,-7.2,2.3,0.0,12.7,0.0,100.2,10.7,0.3,31.7,39.7,2.3,0.3,46.0,1.0,1053.0,34.0,0.0,3.0,0.2781456953642384,0.26913199794555726
1,61.62,674.0,55.0,1.25,30.0,0.0,169.0,9.499999999999998,2.7,4.3,41.0,0.0,126.6,14.3,0.0,135.3,95.3,7.0,1.7499999999999998,46.0,1.0,463.0,28.0,28.0,6.0,0.3333333333333333,0.31253383865728207
1,87.07,196.0,7.0,0.74,42.0,0.0,-68.0,9.499999999999998,2.0,6.750000000000001,17.3,0.0,33.7,4.7,0.0,121.7,14.7,11.7,1.3,46.0,2.0,876.0,32.0,30.0,5.0,0.3333333333333333,0.31253383865728207
1,63.3,381.0,50.0,1.25,0.0,0.0,108.0,-10.3,4.7,0.0,7.0,0.0,109.0,34.0,13.25,85.7,20.3,4.7,0.0,46.0,2.0,231.0,46.0,0.0,5.0,0.4,0.31253383865728207
1,72.65,493.0,50.0,1.24,7.0,0.5,220.0,3.1,2.3,2.3,28.0,0.7,144.8,47.0,13.25,110.0,98.3,4.7,1.3,46.0,1.0,135.0,40.0,0.0,3.0,0.2636363636363636,0.31253383865728207
1,42.2,64.0,52.0,0.0,0.0,0.0,-58.0,-12.899999999999999,0.0,0.0,10.7,0.0,19.7,3.7,6.3,16.3,10.0,0.0,0.0,46.0,3.0,615.0,34.0,32.0,7.0,0.22650602409638554,0.31253383865728207
1,48.39,49.0,60.0,0.0,13.0,0.0,89.0,-0.9,1.0,0.0,4.7,0.0,0.1,3.3,0.3,12.7,8.3,1.0,0.0,46.0,2.0,501.0,44.0,44.0,7.0,0.36538461538461536,0.31253383865728207
1,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,1053.0,38.0,0.0,8.0,0.2937853107344633,0.31253383865728207
1,55.34,144.0,55.0,1.25,0.0,0.0,-137.0,-12.899999999999999,7.7,3.7,7.7,0.7,44.5,12.3,0.7,44.7,27.3,11.3,1.3,46.0,2.0,401.0,80.0,82.0,9.0,0.3333333333333333,0.31253383865728207
1,33.85,323.0,25.0,1.25,36.0,0.5,-243.5,-12.899999999999999,1.7,6.750000000000001,29.0,1.7,59.3,13.3,2.0,75.0,28.0,9.7,1.0,46.0,1.0,304.0,34.0,36.0,5.0,0.3262411347517731,0.3141497851442603
1,69.32,415.0,55.0,0.74,0.0,0.0,-121.0,-9.0,6.0,6.0,9.3,0.0,55.9,25.0,4.0,117.3,42.0,12.0,1.3,46.0,1.0,469.0,38.0,0.0,4.0,0.3262411347517731,0.31253383865728207
1,5.04,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,3.0,1004.0,32.0,32.0,8.0,0.4,0.31253383865728207
1,53.42,77.0,30.0,0.0,0.0,0.5,-70.0,-12.899999999999999,0.0,0.3,0.7,0.0,0.0,0.3,0.0,3.0,0.3,0.3,0.0,46.0,1.0,1053.0,58.0,68.0,6.0,0.2784615384615385,0.31253383865728207
1,34.99,419.0,45.0,0.0,0.0,0.0,-22.0,0.0,0.7,2.3,4.3,1.0,9.3,4.7,2.7,37.3,39.0,3.0,0.0,46.0,1.0,730.0,0.0,0.0,6.0,0.2784615384615385,0.31253383865728207
1,30.32,94.0,30.0,0.25,0.0,0.0,46.0,0.7,0.7,0.0,2.0,0.0,10.7,8.0,0.0,23.7,9.0,0.7,0.0,46.0,1.0,1053.0,44.0,38.0,6.0,0.39416058394160586,0.31253383865728207
1,88.38,560.0,75.0,0.25,55.0,0.3,-243.5,-12.899999999999999,2.0,0.0,10.3,0.0,8.4,8.3,1.0,100.7,16.7,2.0,1.3,46.0,1.0,27.0,32.0,0.0,6.0,0.22727272732224232,0.31253383865728207
1,20.33,26.0,20.0,0.25,0.0,0.0,-26.0,-0.3,0.3,0.7,0.7,0.0,1.1,0.0,0.0,2.0,0.0,1.0,0.0,46.0,1.0,479.0,0.0,0.0,0.0,0.36538461538461536,0.26913199794555726
1,23.86,67.0,24.0,0.0,0.0,0.0,-38.0,-4.5,0.0,0.0,7.7,0.0,6.2,3.3,0.3,23.3,14.3,0.0,0.0,46.0,1.0,810.0,30.0,0.0,7.0,0.23893805309734514,0.3141497851442603
1,35.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,46.0,1.0,1053.0,42.0,66.0,1.0,0.2781456953642384,0.26913199794555726
1,30.0,131.0,30.0,0.0,0.0,0.0,183.0,0.0,2.3,0.7,5.3,0.0,23.9,4.7,0.0,37.0,12.7,3.0,0.3,46.0,2.0,458.0,54.0,52.0,7.0,0.39416058394160586,0.31253383865728207
1,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,1053.0,44.0,32.0,9.0,0.2676056338028169,0.31253383865728207
1,36.25,39.0,25.0,0.0,18.0,0.0,-18.0,-9.2,1.3,0.0,2.3,0.0,0.0,0.0,0.0,6.7,8.0,1.3,0.0,46.0,1.0,1053.0,0.0,0.0,0.0,0.31155778894472363,0.31253383865728207
1,72.62,690.0,55.0,1.25,13.0,0.5,12.0,-12.7,5.0,5.0,36.0,0.0,119.6,27.3,0.3,159.0,45.7,10.0,1.7499999999999998,46.0,1.0,807.0,46.0,44.0,9.0,0.2937853107344633,0.3141497851442603
1,41.99,36.0,42.0,0.0,0.0,0.0,-16.0,0.0,1.3,1.0,1.7,0.0,1.9,6.3,0.0,15.3,4.0,2.3,0.0,46.0,1.0,1053.0,46.0,0.0,5.0,0.22602739726027396,0.26913199794555726
1,80.26,297.0,30.0,0.25,55.0,0.5,-67.0,-12.899999999999999,3.3,0.7,11.7,0.0,40.4,17.0,3.3,45.7,27.0,4.0,0.0,46.0,2.0,1053.0,0.0,0.0,0.0,0.32950191570881227,0.31253383865728207
1,64.25,575.0,50.0,0.0,55.0,0.0,-35.0,-7.5,6.7,0.0,2.3,0.0,25.2,18.0,0.3,188.75,26.7,6.7,0.0,46.0,1.0,431.0,48.0,46.0,4.0,0.287369640787949,0.31253383865728207
